Valve Characterization 11/03/19 12:20 PM
STEPPER MOTOR POSITION(STEPS FROM CLOSED) , PRESSURE TRANSDUCER READING (RAW)
12:13:09.825 -> 0,264
12:13:09.825 -> 0,264
12:13:09.825 -> 0,263
12:13:09.901 -> 0,263
12:13:09.901 -> 0,264
12:13:09.901 -> 0,264
12:13:09.901 -> 0,263
12:13:09.901 -> 0,264
12:13:09.971 -> 0,262
12:13:09.971 -> 0,264
12:13:09.971 -> 0,263
12:13:09.971 -> 0,264
12:13:10.078 -> 0,262
12:13:10.078 -> 0,263
12:13:10.078 -> 0,264
12:13:10.078 -> 0,264
12:13:10.078 -> 0,264
12:13:10.185 -> 0,263
12:13:10.185 -> 0,263
12:13:10.185 -> 0,263
12:13:10.185 -> 0,264
12:13:10.257 -> 0,264
12:13:10.257 -> 0,263
12:13:10.257 -> 0,263
12:13:10.257 -> 0,263
12:13:10.257 -> 0,264
12:13:10.363 -> 0,263
12:13:10.363 -> 0,262
12:13:10.363 -> 0,262
12:13:10.363 -> 0,264
12:13:10.363 -> 0,264
12:13:10.430 -> 0,265
12:13:10.430 -> 0,263
12:13:10.430 -> 0,262
12:13:10.430 -> 0,263
12:13:10.531 -> 0,264
12:13:10.531 -> 0,264
12:13:10.531 -> 0,263
12:13:10.531 -> 0,265
12:13:10.531 -> 0,262
12:13:10.632 -> 0,263
12:13:10.632 -> 0,265
12:13:10.632 -> 0,263
12:13:10.632 -> 0,263
12:13:10.739 -> 0,264
12:13:10.739 -> 0,264
12:13:10.739 -> 0,265
12:13:10.739 -> 0,264
12:13:10.739 -> 0,262
12:13:10.813 -> 0,263
12:13:10.813 -> 0,265
12:13:10.813 -> 0,264
12:13:10.813 -> 0,264
12:13:10.922 -> 0,264
12:13:10.922 -> 0,263
12:13:10.922 -> 0,264
12:13:10.922 -> 0,264
12:13:10.922 -> 0,263
12:13:10.997 -> 0,264
12:13:10.997 -> 0,264
12:13:10.997 -> 0,263
12:13:10.997 -> 0,265
12:13:10.997 -> 0,263
12:13:11.098 -> 0,262
12:13:11.098 -> 0,263
12:13:11.098 -> 0,264
12:13:11.098 -> 0,264
12:13:11.166 -> 0,263
12:13:11.166 -> 0,263
12:13:11.166 -> 0,263
12:13:11.166 -> 0,263
12:13:11.166 -> 0,263
12:13:11.268 -> 0,264
12:13:11.268 -> 0,263
12:13:11.268 -> 0,263
12:13:11.268 -> 0,264
12:13:11.372 -> 0,265
12:13:11.372 -> 0,263
12:13:11.372 -> 0,263
12:13:11.372 -> 0,265
12:13:11.372 -> 0,264
12:13:11.444 -> 0,264
12:13:11.444 -> 0,264
12:13:11.444 -> 0,264
12:13:11.444 -> 0,263
12:13:11.553 -> 0,264
12:13:11.553 -> 0,263
12:13:11.553 -> 0,264
12:13:11.553 -> 0,264
12:13:11.553 -> 0,263
12:13:11.657 -> 0,265
12:13:11.657 -> 0,263
12:13:11.657 -> 0,263
12:13:11.657 -> 0,263
12:13:11.657 -> 0,265
12:13:11.724 -> 0,264
12:13:11.724 -> 0,265
12:13:11.724 -> 0,264
12:13:11.724 -> 0,264
12:13:11.833 -> 0,264
12:13:11.833 -> 0,265
12:13:11.833 -> 0,263
12:13:11.833 -> 0,264
12:13:11.833 -> 0,264
12:13:11.901 -> 0,264
12:13:11.901 -> 0,265
12:13:11.901 -> 0,263
12:13:11.901 -> 0,264
12:13:12.007 -> 0,264
12:13:12.007 -> 0,264
12:13:12.007 -> 0,263
12:13:12.007 -> 0,265
12:13:12.007 -> 0,263
12:13:12.077 -> 0,263
12:13:12.077 -> 0,263
12:13:12.077 -> 0,265
12:13:12.077 -> 0,263
12:13:12.184 -> 0,263
12:13:12.184 -> 0,263
12:13:12.184 -> 0,264
12:13:12.184 -> 0,265
12:13:12.184 -> 0,263
12:13:12.285 -> 0,262
12:13:12.285 -> 0,263
12:13:12.285 -> 0,265
12:13:12.285 -> 0,264
12:13:12.285 -> 0,264
12:13:12.354 -> 0,263
12:13:12.354 -> 0,264
12:13:12.354 -> 0,263
12:13:12.354 -> 0,263
12:13:12.461 -> 0,263
12:13:12.461 -> 0,263
12:13:12.461 -> 0,263
12:13:12.461 -> 0,264
12:13:12.461 -> 0,265
12:13:12.562 -> 0,264
12:13:12.562 -> 0,263
12:13:12.562 -> 0,262
12:13:12.562 -> 0,264
12:13:12.634 -> 0,265
12:13:12.634 -> 0,264
12:13:12.634 -> 0,264
12:13:12.634 -> 0,262
12:13:12.634 -> 0,265
12:13:12.711 -> 0,265
12:13:12.711 -> 0,264
12:13:12.711 -> 0,265
12:13:12.711 -> 0,264
12:13:12.818 -> 0,264
12:13:12.818 -> 0,265
12:13:12.818 -> 0,264
12:13:12.818 -> 0,264
12:13:12.818 -> 0,263
12:13:12.919 -> 0,264
12:13:12.919 -> 0,264
12:13:12.919 -> 0,263
12:13:12.919 -> 0,264
12:13:12.919 -> 0,262
12:13:12.988 -> 0,264
12:13:12.988 -> 0,264
12:13:12.988 -> 0,265
12:13:12.988 -> 0,265
12:13:13.095 -> 0,264
12:13:13.095 -> 0,264
12:13:13.095 -> 0,264
12:13:13.095 -> 0,263
12:13:13.095 -> 0,264
12:13:13.202 -> 0,264
12:13:13.202 -> 0,265
