// up to max 1900 psi, opened motor fully and then started measuring pressure.
14:07:15.240 -> 0,0
14:07:15.277 -> 0,0
14:07:15.311 -> 0,0
14:07:15.311 -> 0,0
14:07:15.344 -> 0,0
14:07:15.344 -> 0,0
14:07:15.378 -> 0,0
14:07:15.378 -> 0,0
14:07:15.414 -> 0,0
14:07:15.448 -> 0,0
14:07:15.448 -> 0,0
14:07:15.484 -> 0,0
14:07:15.484 -> 0,0
14:07:15.523 -> 0,0
14:07:15.523 -> 0,0
14:07:15.557 -> 0,0
14:07:15.594 -> 0,0
14:07:15.594 -> 0,0
14:07:15.630 -> 0,0
14:07:15.630 -> 0,6
14:07:15.664 -> 0,0
14:07:15.664 -> 0,0
14:07:15.697 -> 0,0
14:07:15.734 -> 0,0
14:07:15.734 -> 0,0
14:07:15.768 -> 0,11
14:07:15.768 -> 0,1
14:07:15.801 -> 0,12
14:07:15.801 -> 0,2
14:07:15.839 -> 0,0
14:07:15.839 -> 0,0
14:07:15.874 -> 0,0
14:07:15.911 -> 0,8
14:07:15.911 -> 0,6
14:07:15.947 -> 0,0
14:07:15.947 -> 0,0
14:07:15.981 -> 0,0
14:07:15.981 -> 0,0
14:07:16.018 -> 0,0
14:07:16.018 -> 0,0
14:07:16.052 -> 0,0
14:07:16.089 -> 0,0
14:07:16.089 -> 0,0
14:07:16.123 -> 0,4
14:07:16.123 -> 0,0
14:07:16.159 -> 0,0
14:07:16.159 -> 0,0
14:07:16.193 -> 0,7
14:07:16.228 -> 0,0
14:07:16.228 -> 0,0
14:07:16.261 -> 0,0
14:07:16.261 -> 0,0
14:07:16.294 -> 0,0
14:07:16.328 -> 0,0
14:07:16.328 -> 0,0
14:07:16.361 -> 0,0
14:07:16.361 -> 0,0
14:07:16.397 -> 0,0
14:07:16.434 -> 0,0
14:07:16.434 -> 0,0
14:07:16.471 -> 0,3
14:07:16.471 -> 0,0
14:07:16.506 -> 0,0
14:07:16.506 -> 0,0
14:07:16.540 -> 0,0
14:07:16.540 -> 0,0
14:07:16.576 -> 0,0
14:07:16.613 -> 0,0
14:07:16.613 -> 0,0
14:07:16.647 -> 0,8
14:07:16.647 -> 0,0
14:07:16.683 -> 0,1
14:07:16.683 -> 0,8
14:07:16.723 -> 0,9
14:07:16.723 -> 0,9
14:07:16.758 -> 0,19
14:07:16.791 -> 0,0
14:07:16.791 -> 0,0
14:07:16.824 -> 0,0
14:07:16.824 -> 0,0
14:07:16.858 -> 0,11
14:07:16.891 -> 0,0
14:07:16.891 -> 0,1
14:07:16.925 -> 0,16
14:07:16.925 -> 0,14
14:07:16.959 -> 0,1
14:07:16.959 -> 0,0
14:07:16.993 -> 0,0
14:07:17.026 -> 0,0
14:07:17.026 -> 0,0
14:07:17.060 -> 0,0
14:07:17.060 -> 0,0
14:07:17.094 -> 0,0
14:07:17.127 -> 0,0
14:07:17.127 -> 0,0
14:07:17.162 -> 0,0
14:07:17.162 -> 0,0
14:07:17.195 -> 0,0
14:07:17.229 -> 0,0
14:07:17.229 -> 0,0
14:07:17.264 -> 0,0
14:07:17.264 -> 0,0
14:07:17.297 -> 0,0
14:07:17.297 -> 0,0
14:07:17.330 -> 0,0
14:07:17.367 -> 0,0
14:07:17.367 -> 0,0
14:07:17.406 -> 0,0
14:07:17.406 -> 0,0
14:07:17.440 -> 0,0
14:07:17.440 -> 0,0
14:07:17.473 -> 0,0
14:07:17.506 -> 0,0
14:07:17.506 -> 0,0
14:07:17.540 -> 0,0
14:07:17.540 -> 0,0
14:07:17.573 -> 0,0
14:07:17.606 -> 0,0
14:07:17.606 -> 0,0
14:07:17.640 -> 0,0
14:07:17.640 -> 0,0
14:07:17.673 -> 0,0
14:07:17.707 -> 0,0
14:07:17.707 -> 0,0
14:07:17.743 -> 0,0
14:07:17.743 -> 0,0
14:07:17.777 -> 0,0
14:07:17.814 -> 0,0
14:07:17.814 -> 0,0
14:07:17.850 -> 0,0
14:07:17.850 -> 0,0
14:07:17.885 -> 0,0
14:07:17.885 -> 0,0
14:07:17.918 -> 0,10
14:07:17.918 -> 0,0
14:07:17.955 -> 0,0
14:07:17.990 -> 0,8
14:07:17.990 -> 0,12
14:07:18.027 -> 0,0
14:07:18.027 -> 0,0
14:07:18.062 -> 0,0
14:07:18.062 -> 0,1
14:07:18.097 -> 0,13
14:07:18.097 -> 0,8
14:07:18.134 -> 0,0
14:07:18.169 -> 0,0
14:07:18.169 -> 0,0
14:07:18.207 -> 0,6
14:07:18.207 -> 0,0
14:07:18.240 -> 0,0
14:07:18.240 -> 0,0
14:07:18.277 -> 0,3
14:07:18.310 -> 0,0
14:07:18.310 -> 0,3
14:07:18.345 -> 0,6
14:07:18.345 -> 0,3
14:07:18.380 -> 0,0
14:07:18.380 -> 0,0
14:07:18.417 -> 0,0
14:07:18.417 -> 0,0
14:07:18.452 -> 0,0
14:07:18.485 -> 0,0
14:07:18.485 -> 0,6
14:07:18.522 -> 0,0
14:07:18.522 -> 0,0
14:07:18.556 -> 0,0
14:07:18.591 -> 0,0
14:07:18.591 -> 0,0
14:07:18.628 -> 0,0
14:07:18.628 -> 0,0
14:07:18.662 -> 0,3
14:07:18.662 -> 0,0
14:07:18.696 -> 0,0
14:07:18.733 -> 0,0
14:07:18.733 -> 0,0
14:07:18.770 -> 0,0
14:07:18.770 -> 0,0
14:07:18.807 -> 0,4
14:07:18.807 -> 0,0
14:07:18.843 -> 0,0
14:07:18.843 -> 0,0
14:07:18.878 -> 0,0
14:07:18.878 -> 0,0
14:07:18.911 -> 0,0
14:07:18.948 -> 0,0
14:07:18.948 -> 0,0
14:07:18.985 -> 0,2
14:07:18.985 -> 0,0
14:07:19.020 -> 0,0
14:07:19.020 -> 0,0
14:07:19.056 -> 0,0
14:07:19.090 -> 0,0
14:07:19.090 -> 0,0
14:07:19.127 -> 0,0
14:07:19.127 -> 0,0
14:07:19.160 -> 0,0
14:07:19.160 -> 0,0
14:07:19.194 -> 0,0
14:07:19.231 -> 0,0
14:07:19.231 -> 0,0
14:07:19.266 -> 0,0
14:07:19.266 -> 0,0
14:07:19.300 -> 0,0
14:07:19.300 -> 0,5
14:07:19.334 -> 0,0
14:07:19.367 -> 0,8
14:07:19.367 -> 0,0
14:07:19.405 -> 0,6
14:07:19.405 -> 0,0
14:07:19.440 -> 0,0
14:07:19.440 -> 0,0
14:07:19.473 -> 0,0
14:07:19.508 -> 0,11
14:07:19.508 -> 0,12
14:07:19.541 -> 0,0
14:07:19.541 -> 0,0
14:07:19.575 -> 0,5
14:07:19.610 -> 0,0
14:07:19.610 -> 0,0
14:07:19.643 -> 0,7
14:07:19.643 -> 0,0
14:07:19.680 -> 0,13
14:07:19.680 -> 0,0
14:07:19.713 -> 0,0
14:07:19.746 -> 0,0
14:07:19.746 -> 0,0
14:07:19.781 -> 0,0
14:07:19.781 -> 0,0
14:07:19.815 -> 0,0
14:07:19.851 -> 0,0
14:07:19.851 -> 0,0
14:07:19.888 -> 0,0
14:07:19.888 -> 0,0
14:07:19.922 -> 0,0
14:07:19.922 -> 0,0
14:07:19.956 -> 0,12
14:07:19.990 -> 0,14
14:07:19.990 -> 0,0
14:07:20.023 -> 0,0
14:07:20.023 -> -29,0
14:07:20.056 -> -68,17
14:07:20.090 -> -107,29
14:07:20.090 -> -144,3
14:07:20.124 -> -183,0
14:07:20.124 -> -220,0
14:07:20.159 -> -260,5
14:07:20.193 -> -297,0
14:07:20.193 -> -336,9
14:07:20.228 -> -373,0
14:07:20.228 -> -412,0
14:07:20.265 -> -449,22
14:07:20.265 -> -488,0
14:07:20.301 -> -525,13
14:07:20.301 -> -564,0
14:07:20.334 -> -601,0
14:07:20.371 -> -640,8
14:07:20.371 -> -677,0
14:07:20.404 -> -716,0
14:07:20.404 -> -755,0
14:07:20.440 -> -792,0
14:07:20.475 -> -832,6
14:07:20.475 -> -869,13
14:07:20.512 -> -908,8
14:07:20.512 -> -945,0
14:07:20.545 -> -984,15
14:07:20.545 -> -1021,4
14:07:20.582 -> -1060,0
14:07:20.582 -> -1097,6
14:07:20.618 -> -1136,3
14:07:20.653 -> -1173,0
14:07:20.653 -> -1212,0
14:07:20.687 -> -1249,17
14:07:20.687 -> -1288,5
14:07:20.723 -> -1327,0
14:07:20.723 -> -1364,0
14:07:20.756 -> -1403,0
14:07:20.790 -> -1440,19
14:07:20.790 -> -1479,13
14:07:20.824 -> -1516,0
14:07:20.824 -> -1555,0
14:07:20.860 -> -1592,4
14:07:20.895 -> -1631,8
14:07:20.895 -> -1668,0
14:07:20.932 -> -1707,0
14:07:20.932 -> -1744,6
14:07:20.969 -> -1783,0
14:07:20.969 -> -1820,2
14:07:21.006 -> -1859,0
14:07:21.006 -> -1896,0
14:07:21.040 -> -1935,0
14:07:21.073 -> -1974,0
14:07:21.073 -> -1994,14
14:07:21.106 -> -1994,8
14:07:21.106 -> -1994,5
14:07:21.140 -> -1994,5
14:07:21.173 -> -1994,0
14:07:21.173 -> -1994,4
14:07:21.211 -> -1994,0
14:07:21.211 -> -1994,0
14:07:21.245 -> -1994,0
14:07:21.245 -> -1994,4
14:07:21.280 -> -1994,0
14:07:21.318 -> -1994,0
14:07:21.318 -> -1994,3
14:07:21.351 -> -1994,2
14:07:21.351 -> -1994,1
14:07:21.389 -> -1994,0
14:07:21.389 -> -1994,0
14:07:21.423 -> -1994,0
14:07:21.423 -> -1994,0
14:07:21.457 -> -1994,0
14:07:21.490 -> -1994,0
14:07:21.490 -> -1994,2
14:07:21.526 -> -1994,13
14:07:21.526 -> -1994,0
14:07:21.560 -> -1994,0
14:07:21.593 -> -1994,0
14:07:21.593 -> -1994,1
